id,name_de,synonyms_de,name_fr,synonyms_fr,name_it,synonyms_it,name_en,synonyms_en,category_de,category_fr,category_it,category_en,kcal,fat,protein
10533,Agar Agar,,Agar Agar,,Agar Agar,,Agar Agar,,Verschiedenes/Gelier- und Bindemittel,Divers/Gélifiants et liants,Diversi/Gelificanti e leganti,Various/Gelling and binding agents,160,0.2,2.4
10536,Agavensirup,Agavendicksaft,Sirop d'agave,,Sciroppo di agave,,Agave syrup,,Süssigkeiten/Zucker und Süssstoffe,Sucreries/Sucres et édulcorants,Dolciumi/Zuccheri ed edulcoranti,Sweets/Sugar and sweeteners,293,0,0.2
1478,"Älplermagronen, zubereitet",,"Macaronis de l'alpage, préparés",,"Maccheroni dell'alpigiano, preparati",,"Macaroni from the alps, prepared",,Gerichte/Sonstige salzige/rezente Gerichte,Plats/Autres plats salés/épicés,Cibi/Altri cibi salati/saporiti,Prepared dishes/Other savoury dishes,184,9,6.1
868,Amaretti (Mandelgebäck),,Amaretti (biscuits aux amandes),,Amaretti (biscotti alle mandorle),,Amaretti (Almond cookie),,Süssigkeiten/Guetzli,Sucreries/Biscuits,Dolciumi/Biscotti,Sweets/Cookies/Biscuits,451,12.4,7.6
617,"Ananas, gezuckert (Konserve)",,"Ananas, sucré, conserve",,"Ananas, zuccherato, conserva",,"Pineapple, sweetened, canned",,Früchte/Früchte gekocht (inkl. Konserven),Fruits/Fruits cuits (conserves comprises),Frutta/Frutta cotta (incl. conserve),Fruit/Cooked fruit (incl. cans),87,0.2,0.4
377,"Ananas, roh",,"Ananas, cru",,"Ananas, crudo",,"Pineapple, fresh",,Früchte/Früchte frisch,Fruits/Fruits frais,Frutta/Frutta fresca,Fruit/Fresh fruit,51,0.2,0.4
618,"Ananas, ungezuckert (Konserve)",,"Ananas, non sucré , conserve",,"Ananas, non zuccherato, conserva",,"Pineapple, unsweetened, canned",,Früchte/Früchte gekocht (inkl. Konserven),Fruits/Fruits cuits (conserves comprises),Frutta/Frutta cotta (incl. conserve),Fruit/Cooked fruit (incl. cans),51,0.2,0.4
1049,"Apfel, gedünstet, abgetropft (ohne Zugabe von Zucker)",,"Pomme, cuite,  égouttée (sans adjonction de sucre)",,"Mele, cotte, sgocciolate (senza aggiunta di zucchero)",,"Apple, stewed, drained (without addition of sugar)",,Früchte/Früchte gekocht (inkl. Konserven),Fruits/Fruits cuits (conserves comprises),Frutta/Frutta cotta (incl. conserve),Fruit/Cooked fruit (incl. cans),72,0.4,0.4
435,"Apfel, geschält, getrocknet",Dörrapfel,"Pomme, pelée, sechée",,"Mele, sbucciate, secche",,"Apple, peeled, dried",,Früchte/Früchte getrocknet,Fruits/Fruits secs,Frutta/Frutta secca,Fruit/Dried fruit,295,2,1.5
378,"Apfel, roh",,"Pomme, crue",,"Mela, cruda",,"Apple, fresh",,Früchte/Früchte frisch,Fruits/Fruits frais,Frutta/Frutta fresca,Fruit/Fresh fruit,55,0.3,0.3
